Angle,Arm,Background,GatedMag
-180.0,0.0,0.0,2.16122516e-01
-172.2,0.0,0.0,4.49938005e-01
-164.3,0.0,0.0,6.76638333e-01
-156.5,0.0,0.0,7.82783497e-01
-148.7,0.0,0.0,7.41886993e-01
-140.9,0.0,0.0,6.13443790e-01
-133.0,0.0,0.0,4.55587457e-01
-125.2,0.0,0.0,3.97258388e-01
-117.4,0.0,0.0,3.42577445e-01
-109.6,0.0,0.0,3.38926106e-01
-101.7,0.0,0.0,3.47221810e-01
-93.9,0.0,0.0,4.20443804e-01
-86.1,0.0,0.0,6.12732559e-01
-78.3,0.0,0.0,7.14049416e-01
-70.4,0.0,0.0,1.00000000e+00
-62.6,0.0,0.0,6.72136069e-01
-54.8,0.0,0.0,6.15676394e-01
-47.0,0.0,0.0,6.29921367e-01
-39.1,0.0,0.0,5.57189802e-01
-31.3,0.0,0.0,5.12193221e-01
-23.5,0.0,0.0,5.41307962e-01
-15.7,0.0,0.0,5.07176157e-01
-7.8,0.0,0.0,5.56228853e-01
0.0,0.0,0.0,5.53821406e-01
7.8,0.0,0.0,4.59637173e-01
15.7,0.0,0.0,4.46391884e-01
23.5,0.0,0.0,4.55687436e-01
31.3,0.0,0.0,4.48640378e-01
39.1,0.0,0.0,4.72610100e-01
47.0,0.0,0.0,4.75866836e-01
54.8,0.0,0.0,5.18591603e-01
62.6,0.0,0.0,5.31395260e-01
70.4,0.0,0.0,5.97652113e-01
78.3,0.0,0.0,7.43389940e-01
86.1,0.0,0.0,7.50316572e-01
93.9,0.0,0.0,8.18534044e-01
101.7,0.0,0.0,8.82133833e-01
109.6,0.0,0.0,9.02144876e-01
117.4,0.0,0.0,8.04931865e-01
125.2,0.0,0.0,7.21924467e-01
133.0,0.0,0.0,6.85247706e-01
140.9,0.0,0.0,6.78553533e-01
148.7,0.0,0.0,6.92952569e-01
156.5,0.0,0.0,7.29970061e-01
164.3,0.0,0.0,7.93392357e-01
172.2,0.0,0.0,8.89921460e-01
